user_id,place_id,place_name,name,rating,types
164,6147,Budhasubba Temple,Budhasubba Temple,3, Religious Site
165,6150,Phewa Lake,Phewa Lake,4, Natural Landmark
166,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
167,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
168,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
169,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
170,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
171,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
172,6150,Phewa Lake,Phewa Lake,5, Natural Landmark
173,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
174,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
175,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
176,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
177,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
178,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
179,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
180,6173,Nepal Art Council ,Nepal Art Council ,5, Art Gallery
9,6175,Taleju Temple,Taleju Temple,5, Religious Site
10,6175,Taleju Temple,Taleju Temple,5, Religious Site
11,6175,Taleju Temple,Taleju Temple,5, Religious Site
12,6175,Taleju Temple,Taleju Temple,5, Religious Site
13,6175,Taleju Temple,Taleju Temple,4, Religious Site
14,6175,Taleju Temple,Taleju Temple,5, Religious Site
15,6175,Taleju Temple,Taleju Temple,5, Religious Site
16,6175,Taleju Temple,Taleju Temple,5, Religious Site
181,6181,Umbrella Street,Umbrella Street,5, Tourist Attraction
182,6181,Umbrella Street,Umbrella Street,4, Tourist Attraction
183,6181,Umbrella Street,Umbrella Street,5, Tourist Attraction
184,6181,Umbrella Street,Umbrella Street,4, Tourist Attraction
185,6181,Umbrella Street,Umbrella Street,4, Tourist Attraction
186,6181,Umbrella Street,Umbrella Street,4, Tourist Attraction
187,6181,Umbrella Street,Umbrella Street,4, Tourist Attraction
188,6181,Umbrella Street,Umbrella Street,5, Tourist Attraction
175,292,Siddhartha Art Gallery,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
189,292,Siddhartha Art Gallery,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
139,292,Siddhartha Art Gallery,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
190,292,Siddhartha Art Gallery,Siddhartha Art Gallery,5,"art_gallery, tourist_attraction, point_of_interest, establishment"
191,292,Siddhartha Art Gallery,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
192,292,Siddhartha Art Gallery,Siddhartha Art Gallery,5,"art_gallery, tourist_attraction, point_of_interest, establishment"
193,292,Siddhartha Art Gallery,Siddhartha Art Gallery,5,"art_gallery, tourist_attraction, point_of_interest, establishment"
194,292,Siddhartha Art Gallery,Siddhartha Art Gallery,4,"art_gallery, tourist_attraction, point_of_interest, establishment"
195,6199,Gosaikunda Lake,Gosaikunda Lake,4, Natural Landmark
196,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
197,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
198,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
199,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
200,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
201,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
202,6199,Gosaikunda Lake,Gosaikunda Lake,5, Natural Landmark
203,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
204,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
205,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
206,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
207,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
208,6203,Nuwakot Palace ,Nuwakot Palace ,5, Historical Ruins
209,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
210,6203,Nuwakot Palace ,Nuwakot Palace ,4, Historical Ruins
211,6209,Pilot Baba Aashram,Pilot Baba Aashram,5, Religious Site
212,6209,Pilot Baba Aashram,Pilot Baba Aashram,5, Religious Site
213,6209,Pilot Baba Aashram,Pilot Baba Aashram,5, Religious Site
159,6209,Pilot Baba Aashram,Pilot Baba Aashram,5, Religious Site
214,6209,Pilot Baba Aashram,Pilot Baba Aashram,4, Religious Site
215,6209,Pilot Baba Aashram,Pilot Baba Aashram,4, Religious Site
216,6209,Pilot Baba Aashram,Pilot Baba Aashram,4, Religious Site
217,6209,Pilot Baba Aashram,Pilot Baba Aashram,4, Religious Site
218,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
219,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
220,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
221,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
222,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
223,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
224,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,4, Religious Site
225,6216,Guhyeshwari Shaktipeeth Temple,Guhyeshwari Shaktipeeth Temple,5, Religious Site
226,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,3, Religious Site
227,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,3, Religious Site
26,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,4, Religious Site
228,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,5, Religious Site
229,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,5, Religious Site
82,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,5, Religious Site
230,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,4, Religious Site
35,6217,Naxal Bhagawati Temple,Naxal Bhagawati Temple,5, Religious Site
231,6224,Agnishala,Agnishala,5, Religious Site
87,6224,Agnishala,Agnishala,4, Religious Site
232,6224,Agnishala,Agnishala,5, Religious Site
233,6224,Agnishala,Agnishala,5, Religious Site
234,6224,Agnishala,Agnishala,5, Religious Site
235,6224,Agnishala,Agnishala,4, Religious Site
236,6224,Agnishala,Agnishala,5, Religious Site
88,6224,Agnishala,Agnishala,5, Religious Site
237,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,5, Natural Landmark
238,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,5, Natural Landmark
239,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,1, Natural Landmark
240,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,4, Natural Landmark
241,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,4, Natural Landmark
242,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,4, Natural Landmark
243,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,5, Natural Landmark
244,6226,Uperdangadi Chitwan,Uperdangadi Chitwan,5, Natural Landmark
245,6232,Lumbini Museum,Lumbini Museum,3, Art Gallery
246,6232,Lumbini Museum,Lumbini Museum,4, Art Gallery
247,6232,Lumbini Museum,Lumbini Museum,5, Art Gallery
248,6232,Lumbini Museum,Lumbini Museum,5, Art Gallery
249,6232,Lumbini Museum,Lumbini Museum,2, Art Gallery
250,6232,Lumbini Museum,Lumbini Museum,3, Art Gallery
251,6232,Lumbini Museum,Lumbini Museum,4, Art Gallery
252,6232,Lumbini Museum,Lumbini Museum,4, Art Gallery
253,13,Elephant Breeding Center,Elephant Breeding Center,3,"tourist_attraction, park, food, point_of_interest, establishment"
254,13,Elephant Breeding Center,Elephant Breeding Center,1,"tourist_attraction, park, food, point_of_interest, establishment"
255,13,Elephant Breeding Center,Elephant Breeding Center,3,"tourist_attraction, park, food, point_of_interest, establishment"
256,13,Elephant Breeding Center,Elephant Breeding Center,4,"tourist_attraction, park, food, point_of_interest, establishment"
257,13,Elephant Breeding Center,Elephant Breeding Center,5,"tourist_attraction, park, food, point_of_interest, establishment"
258,13,Elephant Breeding Center,Elephant Breeding Center,1,"tourist_attraction, park, food, point_of_interest, establishment"
259,13,Elephant Breeding Center,Elephant Breeding Center,2,"tourist_attraction, park, food, point_of_interest, establishment"
260,13,Elephant Breeding Center,Elephant Breeding Center,4,"tourist_attraction, park, food, point_of_interest, establishment"
261,6242,Purnachandi Mandir,Purnachandi Mandir,5, Religious Site
87,6242,Purnachandi Mandir,Purnachandi Mandir,4, Religious Site
262,6242,Purnachandi Mandir,Purnachandi Mandir,5, Religious Site
16,6242,Purnachandi Mandir,Purnachandi Mandir,5, Religious Site
263,6242,Purnachandi Mandir,Purnachandi Mandir,5, Religious Site
264,6242,Purnachandi Mandir,Purnachandi Mandir,3, Religious Site
265,6242,Purnachandi Mandir,Purnachandi Mandir,3, Religious Site
58,6242,Purnachandi Mandir,Purnachandi Mandir,4, Religious Site
9,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
10,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
11,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
12,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
13,6246,Degu Taleju Mandir,Degu Taleju Mandir,4, Religious Site
14,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
15,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
16,6246,Degu Taleju Mandir,Degu Taleju Mandir,5, Religious Site
87,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,5, Archaeological Site
266,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,4, Archaeological Site
267,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,5, Archaeological Site
268,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,4, Archaeological Site
269,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,5, Archaeological Site
270,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,5, Archaeological Site
88,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,5, Archaeological Site
271,6248,Ashok Stupa Pulchowk,Ashok Stupa Pulchowk,3, Archaeological Site
87,6266,Yognarendra Salik,Yognarendra Salik,5, Religious Site
272,6266,Yognarendra Salik,Yognarendra Salik,4, Religious Site
33,6268,Changu Museum,Changu Museum,5, Art Gallery
273,6268,Changu Museum,Changu Museum,5, Art Gallery
274,6268,Changu Museum,Changu Museum,5, Art Gallery
275,6268,Changu Museum,Changu Museum,5, Art Gallery
276,6268,Changu Museum,Changu Museum,2, Art Gallery
277,6268,Changu Museum,Changu Museum,5, Art Gallery
278,6268,Changu Museum,Changu Museum,4, Art Gallery
279,6268,Changu Museum,Changu Museum,5, Art Gallery
