user_id,place_id,place_name,rating,types
392,6374.0,Bhedetar Bazar,5, Tourist Attraction
393,6374.0,Bhedetar Bazar,4, Tourist Attraction
394,6374.0,Bhedetar Bazar,5, Tourist Attraction
395,6374.0,Bhedetar Bazar,3, Tourist Attraction
396,6374.0,Bhedetar Bazar,5, Tourist Attraction
397,6374.0,Bhedetar Bazar,5, Tourist Attraction
398,6374.0,Bhedetar Bazar,5, Tourist Attraction
399,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
400,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
401,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
402,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
403,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
404,6402.0,Nepal Folk Musical Instrument Museum,4, Art Gallery
405,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
406,6402.0,Nepal Folk Musical Instrument Museum,5, Art Gallery
16,6411.0,Siddhakali Temple,5, Religious Site
40,6411.0,Siddhakali Temple,5, Religious Site
41,6411.0,Siddhakali Temple,5, Religious Site
42,6411.0,Siddhakali Temple,5, Religious Site
43,6411.0,Siddhakali Temple,5, Religious Site
44,6411.0,Siddhakali Temple,5, Religious Site
45,6411.0,Siddhakali Temple,5, Religious Site
46,6411.0,Siddhakali Temple,5, Religious Site
407,6412.0,Begnas Lake,5, Natural Landmark
17,6412.0,Begnas Lake,5, Natural Landmark
408,6412.0,Begnas Lake,5, Natural Landmark
409,6412.0,Begnas Lake,5, Natural Landmark
223,6412.0,Begnas Lake,5, Natural Landmark
410,6412.0,Begnas Lake,5, Natural Landmark
