id,name,address,latitude,longitude,rating,second_word,types
4942,Sahpur chauk,"WMJ8+PF, धनकौल पछवारी 45800, नेपाल",26.9317922,85.666201,1.5,धनकौल, park
4943,सुत्केरी दह,"3QPM+MFG, कालिन्जोर, नेपाल",27.0866956,85.7837093,4,कालिन्जोर, amusement_park
4944,Haripur Prasansa Church,"2H99+MHX, मलंगवा रोड, हरिपुर 45800, नेपाल",27.0192315,85.5690067,3,मलंगवा रोड, church
4945,सलेस पोखरी,"VMVM+VP9, हरिपुरवा 45800, नेपाल",26.8952243,85.6848279,3.8,हरिपुरवा, tourist_attraction
4946,Noori Jaama Masjid,"WMCX+24H, बसन्तपुर 45800, नेपाल",26.9200626,85.6979299,4.3,बसन्तपुर, mosque
4947,हरिपुरवा,"हरिपुरवा, नेपाल",26.8899781,85.6794434,,नेपाल, historic_site
4948,View point,"F78M+XC, प्युटार 44700, नेपाल",27.4674598,85.2836097,0,प्युटार, trek
4949,मोक्षद्वारी उकालो,"FH5W+7XW, मोक्षद्वारी, गोवलबास 45200, नेपाल",27.4582279,85.5974389,4,मोक्षद्वारी, hike
4950,Sindhuli Bus Park,"कमलामाई 45900, नेपाल",27.2106053,85.9113686,4.4,नेपाल, park
4951,कमलामाई मन्दिर,"Maisthan, Ward No.05, Kamalamai Municipality, Sindhuli District, बि.पी.राजमार्ग, कमलामाई 45900, नेपाल",27.1661482,85.9002754,4.5,Ward No.05, tourist_attraction
4952,Bhiman's Park,"4X57+93M, कमलामाई 45900, नेपाल",27.1084648,85.9626739,3.8,कमलामाई, picnic
4953,"One Tree Hill, Valley view point, Sindhuli","6WHP+45R, कमलामाई 45900, नेपाल",27.2278725,85.9353982,5,कमलामाई, hike
4954,Dudhauli park,"X7FR+G54, दुधौली 45900, नेपाल",26.9737621,86.2904627,3.6,दुधौली, park
4955,Church of prayer warriors,"X8W7+3H8, दुधौली 45900, नेपाल",26.9952108,86.3139626,5,दुधौली, church
4956,Noori jamia masjid phulbariya shariff,"R7V8+XHX, मिर्चैया 56500, नेपाल",26.8449864,86.2664773,5,मिर्चैया, mosque
4957,Paryagpur masjid,"R5WW+J55, कर्जन्हा 10, नेपाल",26.8465021,86.1955038,0,कर्जन्हा, mosque
4958,दुघ्धेश्वर मन्दिर Dughdheshwor Temple,"X7FR+G68, दुधौली 45900, नेपाल",26.973786,86.2905747,5,दुधौली, hindu_temple
4959,Picnic Spot,"X885+9F, दुधौली 45900, नेपाल",26.9659272,86.3087242,4,दुधौली, picnic
4960,Koinoniya Baleni Christian Church,"72QW+WV, बासेश्वर 45900, नेपाल",27.2898254,86.0471731,0,बासेश्वर, church
4961,गोलन्जोर गाउँ पालिका,"73HC+X7Q, 45900, नेपाल",27.2799668,86.0707001,4.3,45900, mosque
4962,श्री ३ विष्णुविर मन्दिर (𑐳𑐸𑑄𑐐𑐵𑑅 𑐡𑑂𑐫𑑅),"M9GM+GJ3, मध्यपुर थिमि 44600, नेपाल",27.6762686,85.3840192,4.8,मध्यपुर, hindu_temple
4963,SINDHULI GADHI MAIN GATEWAY,"7XH5+FV3, B.P. Highway, रतनचुरा 45900, नेपाल",27.2786354,85.9596608,4.4,B.P. Highway, historic_site
4964,Khurkot Picnic Spot & Children's Park,"8XFX+MQ6, भिमेश्वर 45900, नेपाल",27.3241518,85.9993951,4.3,भिमेश्वर, picnic
4965,बरबोट कार्की टोल,"9WH2+955, पुरानो झाँगाझोली 45900, नेपाल",27.3783826,85.9004889,5,पुरानो, park
4966,घ्याङलेख,"घ्याङलेख, नेपाल",27.3809238,85.7711622,,नेपाल, hindu_temple
4967,Ambote-Church,"36W7+J8F, 45900, नेपाल",27.0965645,86.2132959,5,45900, church
4968,तीनपाटन,"तीनपाटन, 45900, नेपाल",27.1426612,86.1120947,,45900, tourist_attraction
4969,"Marin Deurali, Sindhuli","7PH4+43V, Marin, Deurali, Sindhuli Marin Deurali, कल्पवृक्ष, नेपाल",27.2778451,85.7051837,2.8,Marin, tourist_attraction
4970,Adventure Trek and Tour,"M99M+JJX, अनन्तलिङ्गेश्वर, नेपाल",27.6691141,85.3840868,5,अनन्तलिङ्गेश्वर, trek
4971,Sunkoshi,"8XQV+7MJ Khurkot suspension bridge, खुर्कोट झोलुङ्गे पुल, भलुवाजोर 45900, नेपाल",27.3380509,85.9950864,3,खुर्कोट झोलुङ्गे पुल, tourist_attraction
