id,name,address,latitude,longitude,rating,second_word,types,description,removal_reason
93,Balaute Bhanjyang,"8XV2+8F5, Bhojpur 57000, Nepal",27.3432608,86.9512359,5.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
94,Mundum Trail,"7XC2+83J, Bhojpur 57000, Nepal",27.270833,86.9501513,5.0,Bhojpur,"park, point_of_interest, establishment",Bhojpur,Description too short (< 10 words)
95,Wild Adventure Resort,"Badrehani 8, Sauraha, Chitwan 44202, Nepal",27.5779533,84.4747772,4.4,Sauraha,"lodging, park, restaurant, food, point_of_interest, establishment",Oulu,Description too short (< 10 words)
96,Sarang Wildlife Sanctuary,"27, Meghauli, Chitwan 44210, Nepal",27.5761575,84.2144993,4.2,Meghauli,"zoo, lodging, restaurant, park, food, point_of_interest, establishment",Meghauli,Description too short (< 10 words)
97,Dhanushadham Protected Forest,"R3V2+X5F, Dhanusadham 45600, Nepal",26.8449378,86.0504111,4.2,Dhanusadham,"park, point_of_interest, establishment",Dhanusadham,Description too short (< 10 words)
98,Dhanushadham Botanical Garden,"Dhanusha dham.3, Dhanusadham 45600, Nepal",26.8703606,86.0445641,4.3,Dhanusadham,"park, point_of_interest, establishment",Dhanusadham,Description too short (< 10 words)
99,Tinkune Park Dharapani,"W24R+5JC, Dhanusadham 45600, Nepal",26.9054473,86.0415017,5.0,Dhanusadham,"park, point_of_interest, establishment",Dhanusadham,Description too short (< 10 words)
100,"Jugeshwarpur, Tree Place","R24P+27F, Dhanusadham 45600, Nepal",26.805053,86.0356809,3.7,Dhanusadham,"park, point_of_interest, establishment",Dhanusadham,Description too short (< 10 words)
101,Jehovah Intersection,"W323+PG3, Dhanusadham 45600, Nepal",26.9017515,86.0537983,5.0,Dhanusadham,"park, point_of_interest, establishment",Dhanusadham,Description too short (< 10 words)
102,The Mount Toll Chuck Dhanusha,"W24J+5PQ, Dhanusadham 45600, Nepal",26.9062857,86.032086,0.0,Dhanusadham,"park, point_of_interest, establishment",Dhanusadham,Description too short (< 10 words)
103,Dolpo Buddha Hotel,"45GP+Q7H, Dolpa, Dho 1, Nepal",29.1269276,83.18574,0.0,Dolpa,"campground, park, lodging, point_of_interest, establishment",,Missing description
104,The Gurkhaz Rock Garden & Stone Park (Love Park),"Gorkha 34000, Nepal",27.9969906,84.630357,5.0,Nepal,"park, point_of_interest, establishment",,Missing description
105,Children Park,"2J36+JCJ, Unnamed Road, Gorkha 34000, Nepal",28.0040974,84.6110049,3.9,Unnamed Road,"park, point_of_interest, establishment",Rode,Description too short (< 10 words)
106,Gurkhali Stone Park,"Gorkha-6, Gorkha, Nepal",27.9958005,84.6283638,5.0,Gorkha,"park, point_of_interest, establishment",,Missing description
107,Dumsheree Gorkha,"2JHF+4PX, Gorkha 34000, Nepal",28.0278656,84.6243656,0.0,Gorkha,"park, point_of_interest, establishment",,Missing description
108,chaiyaa baaraii,"WW7C+3X4, Ilam 57300, Nepal",26.9126304,87.9224488,4.2,Ilam,"park, point_of_interest, establishment",Īlām,Description too short (< 10 words)
109,"Love Danda, Ilam","Ilam Tea Factory, Near, Ilam 57300, Nepal",26.9097744,87.9222912,4.4,Near,"park, point_of_interest, establishment",Indianapolis,Description too short (< 10 words)
