id,name,address,latitude,longitude,location,types,
164,Anugraha Sagarmatha Church,"24FC+24P, raanaiibaasa 57000, naepaala",27.0223818,87.1195817,raanaiibaasa, church,
165,Anush Art Gallery,"chibal, Kathmandu 44600, Nepal",27.713323,85.311124,Kathmandu,"art_gallery, point_of_interest, establishment",
166,Anutha Mahato Memorial Trust,"R8Q9+8R6, pacharaukhaii 44500, naepaala",26.8382509,85.3195175,pacharaukhaii, monument,
167,Apex of Shivapuri Hill,"R96M+VRF, kaathamaadaauँ 44900, naepaala",27.8121893,85.3845524,kaathamaadaauँ, trek,
168,"Api Base Camp(South),Darchula","RM 1, bayaasha 10100, naepaala",29.9694341,80.9381723,bayaasha, park,
169,App Aquarium House,"P996+RHX, baaudadha sadaka, kaathamaadaauँ 44600, naepaala",27.7196178,85.3615054,baaudadha sadaka, aquarium,
170,Apple Ground Public Park Narephat,"M992+HHW, Kathmandu 44600, Nepal",27.6684625,85.3517663,Kathmandu,"park, point_of_interest, establishment",
171,Aqua Fish World,"gadhaiimaaii 44400, naepaala",27.1641297,84.9782205,naepaala,,
172,Aqua Freak Nepal,"Bagamati Tripureswor Bridge, Lalitpur 44600, Nepal",27.6904776,85.3094065,4.2,Lalitpur,
173,Aqua Haven,"Imadol, Mahalaxmi-1, lalitpur 44700, naepaala",27.6641925,85.3374482,Mahalaxmi-1, aquarium,
174,Aqua Hobbyist,"Kathmandu University Department of Computer Science and Engineering, dhaulaikhaela 45200, naepaala",27.6165735,85.5407772,dhaulaikhaela, aquarium,
175,Aqua Hubs,"jaamaunaiyaa 33007, naepaala",27.4669487,83.7862942,naepaala, aquarium,
176,AquaHus,"Gurhenwa , Tilahra, Dhaka, Bihar 845304, bhaarata",26.7441706,85.2296948,Tilahra, aquarium,
177,Aquadesire,"lalaitapaura 44700, naepaala",27.670453,85.3255713,naepaala, aquarium,
178,Aquarium & pets home,"GQR4+QMH, Thangachi, raajawairaaja 56400, naepaala",26.5419464,86.7567219,Thangachi, aquarium,
179,Aquarium Castle,"2V7G+522, GP Road, waiiraganyaja 44300, naepaala",27.0128894,84.8750201,GP Road, aquarium,
180,Aquarium Kohalpur,"5MQP+VCH, kaohalapaura 21904, naepaala",28.189694,81.6860763,kaohalapaura, aquarium,
181,Aquarium Planet,"taarakaeshawara 44600, naepaala",27.7489061,85.3017687,naepaala, aquarium,
182,Aquarium fishkeeper,"lalaitapaura 44700, naepaala",27.6586853,85.3134787,naepaala, aquarium,
183,Aquarium paradize,"P854+GJ7, kaathamaadaauँ 44600, naepaala",27.7087893,85.3065349,kaathamaadaauँ, aquarium,
184,Aquatic Life Culture,"MCCQ+734, Maheshwari Chowk, bhakatapaura 44800, naepaala",27.6706365,85.4376976,Maheshwari Chowk, aquarium,
185,Aquatic Pet Park,"City Center, Dharma kanta, bairataamaoda 57204, naepaala",26.6445548,88.000023,Dharma kanta, aquarium,
186,Aqurium Shop,"HJV8+VGQ, waiiraenadaranagara 21700, naepaala",28.594712,81.6163504,waiiraenadaranagara, aquarium,
