,id,name,address,latitude,longitude,rating,second_word,types,Description
122,176,Deurali,"WWC9+3GV, Ilam 57300, Nepal",26.9202464,87.9187975,0.0,Ilam 57300,"park, point_of_interest, establishment",
123,177,Padam kanta's tea garden 🏡,"VV76+PMG, Ilam 57300, Nepal",26.8643133,87.8617117,0.0,Ilam 57300,"park, point_of_interest, establishment",
124,178,Statue of Martyr Bam Prasad Bantawa,"WW5F+GF5, Ilam 57300, Nepal",26.9087678,87.9237453,0.0,Ilam 57300,"park, point_of_interest, establishment",
125,179,Rajbanshi tol,"J37F+337, Himali Chowk Bus Stop, Jhapa, Mechi Hwy, Bhadrapur 57200, Nepal",26.6126567,88.0726716,0.0,Himali Chowk Bus Stop,"park, point_of_interest, establishment","Kathmandu, officially the Kathmandu Metropolitan City, is the seat of federal government and the most populous city in Nepal. As of the 2021 Nepal census, there were 845,767 inhabitants living in 105,649 households and approximately 4 million people in its surrounding agglomeration. It is located in the Kathmandu Valley, a large valley surrounded by hills in central Nepal, at an altitude of 4,344 feet (1,324 metres) above sea level."
126,180,देवरीया वनस्पति उध्यान कैलाली,"MJPC+3JW, Kailali, Dhandaghi, Dhangadhi, Nepal",28.685244,80.621591,4.2,Kailali,"park, point_of_interest, establishment",
127,181,सुन्तला बगैचा(घरखेडा)🍊,"Chure 01 Kailali Chure 01, 10900, Nepal",29.0033162,80.6676659,5.0,10900,"park, point_of_interest, establishment",
128,182,"Khadgaun vokunday,kaskikot, Nepal","7VGR+9V5, Khadgakot, Kaskikot, Nepal",28.2758836,83.8922191,4.7,Khadgakot,"park, point_of_interest, establishment",
129,185,Sankhamul Park,"Kathmandu 44600, Nepal",27.6788847,85.3312506,4.1,Nepal,"park, point_of_interest, establishment","Zamindar Sir Lok Pratap Bista  (Nepali: श्री लोक प्रताप बिस्ट ), was appointed by late King Mahendra of Nepal as the minister of Forest and Environment under the government led by Prime minister Surya Bahadur Thapa. The decree for forest conservation was released under his tenure that made logging illegal which was signed by King Mahendra of Nepal on October 5, 1970. He is responsible for setting up the Shuklaphanta National Park and Bardiya National Park as a Wildlife Reserve in 1969 under his tenure as Minister of Forests from 1968 to 1972."
130,187,Tinkune Park,"Ring Rd, Kathmandu 44600, Nepal",27.6853659,85.3488678,3.5,Kathmandu 44600,"park, point_of_interest, establishment","Niranjan Parajuli (Nepali: निरञ्जन पराजुली) is a Nepali chemist, biochemist and biotechnologist, who was President of Nepal Chemical Society (2019-2021) and Professor of Chemistry at the Central Department of Chemistry, Tribhuvan University, Nepal. Parajuli is also an advocate for change in the Nepali education system, writing op-eds for national dailies, particularly focusing on higher education. EduRank has sorted Professor Parajuli as a notable alumnus of Tribhuvan University."
131,188,Madan Bhandari Smriti Vatika,"Kathmandu 44600, Nepal",27.681429,85.3433998,4.3,Nepal,"park, point_of_interest, establishment",
