id,name,address,latitude,longitude,rating,second_word,types
,BUDDHA PARK Boudhanath,"44600, Kathmandu, Nepal",27.7223837,85.3614813,4.5,Kathmandu,"park, tourist_attraction, point_of_interest, establishment"
,Suryamukhi Park,"Kathmandu 44600, Nepal",27.6905987,85.3670526,4.1,Nepal,"park, point_of_interest, establishment"
,Balaju Park,"P8M2+GFM, Trishuli Hwy, Kathmandu 44600, Nepal",27.7338465,85.3011804,4.1,Trishuli Hwy,"park, amusement_park, tourist_attraction, point_of_interest, establishment"
,Buddha park,"M7RV+326, Kathmandu 44600, Nepal",27.6902968,85.2928922,4.7,Kathmandu,"park, point_of_interest, establishment"
,Shankha Park,"P8MV+93R, Pragati Tole Marg, Kathmandu 44600, Nepal",27.7334797,85.3426304,4.2,Pragati Tole Marg,"park, point_of_interest, establishment"
,New Baneshwor Park,"M8QP+X7M, Kathmandu 44600, Nepal",27.6899742,85.3356834,3.8,Kathmandu,"park, point_of_interest, establishment"
,Kamal Pokhari Park,"P86G+49X, Kamal Pokhari St, Kathmandu 44600, Nepal",27.7103591,85.3259695,4.4,Kamal Pokhari St,"park, point_of_interest, establishment"
,Narayanchaur Park Naxal,"Sama Marga, Kathmandu 44600, Nepal",27.7145886,85.3255148,4.4,Kathmandu,"park, point_of_interest, establishment"
,Jump KTM Indoor Trampoline Park,"Dhumbarahi Marg, Kathmandu 44600, Nepal",27.7346197,85.3462353,4.0,Kathmandu,"amusement_park, park, point_of_interest, establishment"
,Switzerland Park Aloknagar,"M8MQ+3F4, Unnamed Road, Kathmandu 44600, Nepal",27.6826285,85.3386885,4.2,Unnamed Road,"park, point_of_interest, establishment"
,Namuna Park,"M9Q7+HH5, Kathmandu 44600, Nepal",27.6888768,85.3639724,4.1,Kathmandu,"park, point_of_interest, establishment"
,Raniban Park,"P7PQ+GGX Ward no 1, Raniban Park, Nagarjung, Kathmandu 44600, Nepal",27.7363667,85.2888608,4.3,Raniban Park,"park, point_of_interest, establishment"
,Khusibu Children Park,"P892+465, Kathmandu 44600, Nepal",27.7177548,85.3006209,4.2,Kathmandu,"park, point_of_interest, establishment"
,Bhurungkhel Green Park,"P853+VWW, Burakhya Marg, Kathmandu 44600, Nepal",27.7097317,85.3048404,3.8,Burakhya Marg,"park, point_of_interest, establishment"
,Children’s Park,"P8WW+5VW, Kathmandu 44600, Nepal",27.7454886,85.3472111,4.0,Kathmandu,"park, point_of_interest, establishment"
,Samakhusi Children Park,"P8F7+JC5, Road, Kathmandu 44600, Nepal",27.7240061,85.3136197,3.8,Road,"park, point_of_interest, establishment"
,Apple Ground Public Park Narephat,"M992+HHW, Kathmandu 44600, Nepal",27.6684625,85.3517663,4.0,Kathmandu,"park, point_of_interest, establishment"
,Shanti Park,"P977+J3P, Boudha Rd Nayabasti, Kathmandu 44600, Nepal",27.7138328,85.3630829,3.8,Boudha Rd Nayabasti,"park, point_of_interest, establishment"
,Bhadrakali park,"M8X8+MXR, Kathmandu 44600, Nepal",27.6992387,85.3173864,4.0,Kathmandu,"park, point_of_interest, establishment"
,Pushpalal Memorial Park,"P853+X5J, Pushpalal Path, Kathmandu 44600, Nepal",27.7099652,85.3028848,4.0,Pushpalal Path,"park, point_of_interest, establishment"
,Kripalu Udhyan,"Kathmandu 44600, Nepal",27.707939,85.345415,4.6,Nepal,"park, point_of_interest, establishment"
,Shanti Park,"P8J8+GQW, Kathmandu 44600, Nepal",27.7313634,85.3169568,3.4,Kathmandu,"park, point_of_interest, establishment"
,Mitra Park,"M7RV+3FM, Gaurishankar Sadak, Kathmandu 44600, Nepal",27.690445,85.2935547,3.9,Gaurishankar Sadak,"park, point_of_interest, establishment"
,Kumari Chaur Park,"P994+28Q, Kathmandu 44600, Nepal",27.7174624,85.3558678,3.9,Kathmandu,"park, point_of_interest, establishment"
,The Handigaun Triangle (dhungedhara) park,"Handigaun Marg, Kathmandu 44600, Nepal",27.7187081,85.3371799,3.9,Kathmandu,"park, point_of_interest, establishment"
,Dovan Park,"M8HM+GX2, Kathmandu 44600, Nepal",27.6788056,85.3345194,4.2,Kathmandu,"park, point_of_interest, establishment"
,Janamaitri Park (Pepsicola Town Plan),"गौरीपुत्र मार्ग, Kathmandu 44600, Nepal",27.6920404,85.364882,4.2,Kathmandu,"park, point_of_interest, establishment"
,Sahayoginagar Park,"M8JP+2VH, Kathmandu 44600, Nepal",27.6798765,85.3370561,4.3,Kathmandu,"park, point_of_interest, establishment"
,Salik Chowk Park,"M7WG+PVP, Kathmandu 44600, Nepal",27.6968398,85.2771942,4.1,Kathmandu,"park, point_of_interest, establishment"
,Earthquake Memorial park,"P74Q+G9M, Kathmandu 44600, Nepal",27.7065081,85.2884511,4.9,Kathmandu,"park, point_of_interest, establishment"
,Ranibari Community Forest,"Kathmandu 44600, Nepal",27.7308175,85.321047,4.4,Nepal,"park, point_of_interest, establishment"
,Airport Nagar Children’s Park,"Kathmandu 44600, Nepal",27.7024696,85.3660836,4.5,Nepal,"park, point_of_interest, establishment"
,Bancharetar Chowk (बन्चरे टार चोक),"P979+G89, Kathmandu 44600, Nepal",27.7137883,85.3683668,4.5,Kathmandu,"park, point_of_interest, establishment"
,Whoopee Land Amusement Water Park,"Kathmandu 44600, Nepal",27.6620256,85.2875264,4.1,Nepal,"amusement_park, park, lodging, restaurant, food, point_of_interest, establishment"
,Ghyoi Lisang Peace Park,"P9C6+XHF, Unnamed Road, Kathmandu 44600, Nepal",27.7224362,85.3614313,4.7,Unnamed Road,"park, point_of_interest, establishment"
,Bagmati Nagar Park,"P975+WWP, Kathmandu 44600, Nepal",27.714826,85.359817,4.5,Kathmandu,"park, point_of_interest, establishment"
,Miku Nepal,"Narayanchaur, Kathmandu 44604, Nepal",27.7148397,85.3249456,4.2,Kathmandu,"park, store, point_of_interest, establishment"
,Setopool Park,"P83P+683, Kathmandu 44600, Nepal",27.70302,85.3358048,4.7,Kathmandu,"park, point_of_interest, establishment"
,Dharahara Park धरहरा बगैचा,"P827+55C, Shundara marg, Kathmandu 44600, Nepal",27.7006755,85.3130526,4.3,Shundara marg,"park, point_of_interest, establishment"
,Nepal Rastra Bank Sworna Jayanti Park,"P8FJ+R7M, Kathmandu 44600, Nepal",27.7245933,85.3306724,4.7,Kathmandu,"park, point_of_interest, establishment"
,Pasupatinath forest,"Unnamed Road, Kathmandu 44600, Nepal",27.7112392,85.3518243,4.5,Kathmandu,"park, point_of_interest, establishment"
,Bhugol Park,"P834+PX3, Infront of bishal bazar, near basantpur, नयाँ सडक, Kathmandu, Nepal",27.704272,85.307417,4.3,Infront of bishal bazar,"park, point_of_interest, establishment"
,pashupatinath park,"44600, Kathmandu 44600, Nepal",27.7102241,85.3494938,5.0,Kathmandu,"park, point_of_interest, establishment"
,khotang bazar,"2VR2+45P, 2, Khotang Bazar 56200, Nepal",27.0403397,86.8504639,0.0,2,"park, point_of_interest, establishment"
